Leather Headgear : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : 2 暖かい毛皮
Leather Belt : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : 2 暖かい毛皮
Piscine Mask : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : 2 水生獣の皮, 2 欠けた貝殻
Piscine Leggings : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : 1 鉄鉱石, 2 砥石
Chainmail Belt : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : ※港店売り
Yukumo Dogi : ※港店売り
Yukumo Kote : ※港店売り
Yukumo Obi : ※港店売り
Yukumo Hakama : ※港店売り
Alloy Helm : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Helios X Vest/Selene X Vest : 5 皇海竜の豪鎧毛, 6 大海龍の鎧毛, 5 大地の龍玉, 1 覇王の証
Helios X Guards/Selene X Guards : 3 皇海龍の豪鎧毛, 6 大海龍の甲皮, 5 神秘の発光体, 1 覇王の証
Helios X Coat/Selene X Coat : 1 深淵の皇龍玉, 3 大海龍の尻尾, 2 海竜の蒼玉, 1 覇王の証
Helios X Leggings/Selene X Leggings : 5 皇海龍の豪鎧毛, 7 大海龍の鱗, 4 古龍の血, 1 覇王の証
Helios Z Helm/Selene Z Helm : 2 湾曲した剛龍角, 2 皇海龍の厚鱗, 1 深淵の皇龍玉, 1 覇王の証
Helios Z Mail/Selene Z Mail : 4 皇海龍の豪鎧毛, 5 皇海龍の重甲皮, 2 湾曲した剛龍角, 1 覇王の証
Helios Z Vambraces/Selene Z Vambraces : 5 皇海龍の重甲皮, 2 湾曲した剛龍角, 4 古龍の血, 1 覇王の証
Helios Z Coil/Selene Z Coil : 4 皇海龍の厚鱗, 5 皇海龍の豪鎧毛, 1 深淵の皇龍玉, 1 覇王の証
Helios Z Greaves/Selene Z Greaves : 5 皇海龍の厚鱗, 5 皇海龍の重甲皮, 6 神秘の発光体, 1 覇王の証
Helios Z Cap/Selene Z Cap : 2 湾曲した剛龍角, 2 皇海龍の厚鱗, 1 深淵の皇龍玉, 1 覇王の証
Helios Z Vest/Selene Z Vest : 4 皇海龍の豪鎧毛, 5 皇海龍の重甲皮, 2 湾曲した剛龍角, 1 覇王の証
Helios Z Guards/Selene Z Guards : 5 皇海龍の重甲皮, 2 湾曲した剛龍角, 4 古龍の血, 1 覇王の証
Helios Z Coat/Selene Z Coat : 4 皇海龍の厚鱗, 5 皇海龍の豪鎧毛, 1 深淵の皇龍玉, 1 覇王の証
Helios Z Leggings/Selene Z Leggings : 5 皇海龍の厚鱗, 5 皇海龍の重甲皮, 6 神秘の発光体, 1 覇王の証
Obituary X Testa/Butterfly X Testa : 1 ピュアアゲハ, 1 マボロシチョウ, 6 蝕龍蟲, 20 不死虫
Obituary X Petto/Butterfly X Petto : 2 ピュアアゲハ, 1 マボロシチョウ, 8 皇帝バッタ, 20 セッチャクロアリ
Obituary X Mano/Butterfly X Mano : 1 ピュアアゲハ, 1 マボロシチョウ, 4 飛甲虫の斬羽, 20 にが虫
Obituary X Anca/Butterfly X Anca : 2 ピュアアゲハ, 1 マボロシチョウ, 4 極上の腹袋, 20 ボンバッタ
Obituary X Gamba/Butterfly X Gamba : 1 ピュアアゲハ, 1 マボロシチョウ, 3 モンスターの特濃, 20 ツチハチノコ
Obituary X Caput/Butterfly X Caput : 1 ピュアアゲハ, 1 マボロシチョウ, 6 蝕龍蟲, 20 不死虫
Obituary X Pectus/Butterfly X Pectus : 2 ピュアアゲハ, 1 マボロシチョウ, 8 皇帝バッタ, 20 セッチャクロアリ
Obituary X Brasso/Butterfly X Brasso : 1 ピュアアゲハ, 1 マボロシチョウ, 4 飛甲虫の斬羽, 20 にが虫
Obituary X Cocusa/Butterfly X Cocusa : 2 ピュアアゲハ, 1 マボロシチョウ, 4 極上の腹袋, 20 ボンバッタ
Obituary X Femur/Butterfly X Femur : 1 ピュアアゲハ, 1 マボロシチョウ, 3 モンスターの特濃, 20 ツチハチノコ
Rathalos X Helm : 4 火竜の厚鱗, 1 火竜の天鱗, 3 業炎袋, 3 重竜骨
Rathalos X Mail : 5 火竜の厚鱗, 4 火竜の重殻, 2 火竜の剛翼, 2 メランジェ鉱石
Rathalos X Vambraces : 4 火竜の厚鱗, 2 火竜の剛翼爪, 1 火竜の靭尾, 2 真紅蓮石
Rathalos X Faulds : 6 火竜の重殻, 4 火竜の剛翼, 1 火竜の延髄, 2 メランジェ鉱石
Rathalos X Greaves : 6 火竜の重殻, 2 火竜の紅玉, 6 火竜の厚鱗, 1 大竜玉
Rathalos X Cap : 4 火竜の厚鱗, 1 火竜の天鱗, 3 業炎袋, 3 重竜骨
Rathalos X Vest : 5 火竜の厚鱗, 4 火竜の重殻, 2 火竜の剛翼, 2 メランジェ鉱石
Rathalos X Guards : 4 火竜の厚鱗, 2 火竜の剛翼爪, 1 火竜の靭尾, 2 真紅蓮石
Rathalos X Coat : 6 火竜の重殻, 4 火竜の剛翼, 1 火竜の延髄, 2 メランジェ鉱石
Rathalos X Leggings : 6 火竜の重殻, 2 火竜の紅玉, 6 火竜の厚鱗, 1 大竜玉
RioSoul Z Helm : 2 蒼火竜の厚鱗, 2 火竜の剛翼, 1 火竜の天鱗, 2 マボロシチョウ
RioSoul Z Mail : 3 蒼火竜の厚鱗, 3 蒼火竜の重殻, 3 業炎袋, 3 重竜骨
RioSoul Z Vambraces : 2 蒼火竜の重殻, 2 蒼火竜の靭尾, 3 重竜骨, 5 エルトライト鉱石
RioSoul Z Faulds : 2 蒼火竜の重殻, 4 蒼火竜の厚鱗, 5 エルトライト鉱石, 2 業炎袋
RioSoul Z Greaves : 2 蒼火竜の重殻, 3 蒼火竜の厚鱗, 1 火竜の天鱗, 1 ピュアクリスタル
RioSoul Z Cap : 2 蒼火竜の厚鱗, 2 火竜の剛翼, 1 火竜の天鱗, 2 マボロシチョウ
RioSoul Z Vest : 3 蒼火竜の厚鱗, 3 蒼火竜の重殻, 3 業炎袋, 3 重竜骨
RioSoul Z Guards : 2 蒼火竜の重殻, 2 蒼火竜の靭尾, 3 重竜骨, 5 エルトライト鉱石
RioSoul Z Coat : 2 蒼火竜の重殻, 4 蒼火竜の厚鱗, 5 エルトライト鉱石, 2 業炎袋
RioSoul Z Leggings : 2 蒼火竜の重殻, 3 蒼火竜の厚鱗, 1 火竜の天鱗, 1 ピュアクリスタル
Diablos X Helm : 5 角竜の重殻, 1 大地を穿つ剛角, 1 大竜玉, 4 毒拘竜の厚皮
Diablos X Mail : 5 角竜の重甲, 1 大地を穿つ剛角, 3 角竜の堅甲, 4 赤甲獣の重殻
Diablos X Vambraces : 6 角竜の重殻, 5 角竜の重甲, 6 角竜の堅殻, 3 狗竜の厚皮
Diablos X Faulds : 6 角竜の重甲, 6 角竜の重尾甲, 3 角竜の延髄, 4 草食竜の獣骨
Diablos X Greaves : 6 角竜の重殻, 5 堅牢なねじれた角, 3 重竜骨, 1 角竜の重尾甲
Diablos X Cap : 5 角竜の重殻, 1 大地を穿つ剛角, 1 大竜玉, 4 毒拘竜の厚皮
Diablos X Vest : 5 角竜の重甲, 1 大地を穿つ剛角, 3 角竜の堅甲, 4 赤甲獣の重殻
Diablos X Guards : 6 角竜の重殻, 5 角竜の重甲, 6 角竜の堅殻, 3 狗竜の厚皮
Diablos X Coat : 6 角竜の重甲, 6 角竜の重尾甲, 3 角竜の延髄, 4 草食竜の獣骨
Diablos X Leggings : 6 角竜の重殻, 5 堅牢なねじれた角, 3 重竜骨, 1 角竜の重尾甲
Diablos Z Helm : 4 黒角竜の重殻, 2 大地を穿つ剛角, 1 大竜玉, 3 極上の腹袋
Diablos Z Mail : 2 堅牢な黒巻き角, 5 黒角竜の重甲, 2 角竜の延髄, 2 偉大なエリマキ
Diablos Z Vambraces : 4 黒角竜の重殻, 5 上質な黒巻き角, 3 黒角竜の重甲, 1 幻鳥竜玉
Diablos Z Faulds : 6 黒角竜の重甲, 5 黒角竜の重殻, 1 堅牢な黒巻き角, 1 ピュアクリスタル
Diablos Z Greaves : 5 黒角竜の重殻, 2 角竜の重尾甲, 4 重竜骨, 2 草食竜の重骨
Diablos Z Cap : 5 黒角竜の重殻, 3 大地を穿つ剛角, 2 大竜玉, 4 極上の腹袋
Diablos Z Vest : 2 堅牢な黒巻き角, 5 黒角竜の重甲, 2 角竜の延髄, 2 偉大なエリマキ
Diablos Z Guards : 4 黒角竜の重殻, 5 上質な黒巻き角, 3 黒角竜の重甲, 1 幻鳥竜玉
Diablos Z Coat : 6 黒角竜の重甲, 5 黒角竜の重殻, 1 堅牢な黒巻き角, 1 ピュアクリスタル
Diablos Z Leggings : 5 黒角竜の重殻, 2 角竜の重尾甲, 4 重竜骨, 2 草食竜の重骨
Agnaktor X Helm : 5 炎戈竜の重殻, 3 炎戈竜の碇口, 4 炎戈竜の厚皮, 2 炎戈竜の剛爪
Agnaktor X Mail : 4 炎戈竜の厚皮, 2 炎戈竜の特上ビレ, 5 炎戈竜の重殻, 2 真紅蓮石
Agnaktor X Vambraces : 3 炎戈竜の剛爪, 3 炎戈竜の重殻, 2 炎戈竜の尻尾, 4 重竜骨
Agnaktor X Faulds : 3 炎戈竜の特上ビレ, 4 赤熱した重胸殻, 5 柔軟な厚皮, 1 幻鳥竜玉
Agnaktor X Greaves : 5 赤熱した重胸殻, 4 炎戈竜の厚皮, 1 大竜玉, 3 毒狗竜の厚皮
Agnaktor X Cap : 5 炎戈竜の重殻, 3 炎戈竜の碇口, 4 炎戈竜の厚皮, 2 炎戈竜の剛爪
Agnaktor X Vest : 4 炎戈竜の厚皮, 2 炎戈竜の特上ビレ, 5 炎戈竜の重殻, 2 真紅蓮石
Agnaktor X Guards : 3 炎戈竜の剛爪, 3 炎戈竜の重殻, 2 炎戈竜の尻尾, 4 重竜骨
Agnaktor X Coat : 3 炎戈竜の特上ビレ, 4 赤熱した重胸殻, 5 柔軟な厚皮, 1 幻鳥竜玉
Agnaktor X Leggings : 5 赤熱した重胸殻, 4 炎戈竜の厚皮, 1 大竜玉, 3 毒狗竜の厚皮
Agnaktor Z Helm : 5 凍戈竜の重殻, 3 凍戈竜の碇口, 3 凍戈竜の厚皮, 6 モンスターの特濃
Agnaktor Z Mail : 4 凍戈竜の厚皮, 3 凍戈竜の特上ビレ, 5 凍戈竜の重殻, 4 凍った粘液塊
Agnaktor Z Vambraces : 3 凍戈竜の剛爪, 5 凍戈竜の重殻, 1 大竜玉, 2 偉大なトサカ
Agnaktor Z Faulds : 2 凍戈竜の特上ビレ, 2 凍戈竜の尻尾, 4 凍戈竜の厚皮, 5 白兎獣の豪剛毛
Agnaktor Z Greaves : 5 潤った重胸殻, 2 凍戈竜の特上ビレ, 3 凍戈竜の剛爪, 2 眠狗竜の厚皮
Agnaktor Z Cap : 5 凍戈竜の重殻, 3 凍戈竜の碇口, 3 凍戈竜の厚皮, 6 モンスターの特濃
Agnaktor Z Vest : 4 凍戈竜の厚皮, 3 凍戈竜の特上ビレ, 5 凍戈竜の重殻, 4 凍った粘液塊
Agnaktor Z Guards : 3 凍戈竜の剛爪, 5 凍戈竜の重殻, 1 大竜玉, 2 偉大なトサカ
Agnaktor Z Coat : 2 凍戈竜の特上ビレ, 2 凍戈竜の尻尾, 4 凍戈竜の厚皮, 5 白兎獣の豪剛毛
Agnaktor Z Leggings : 5 潤った重胸殻, 2 凍戈竜の特上ビレ, 3 凍戈竜の剛爪, 2 眠狗竜の厚皮
Bracchidios X Helm : 3 砕竜の重黒曜甲, 2 砕竜の尖頭殻, 3 光る粘液, 4 真紅蓮石
Bracchidios X Mail : 4 砕竜の重殻, 3 砕竜の重黒曜甲, 2 砕竜の宝玉, 2 重竜骨
Bracchidios X Vambraces : 3 砕竜の重黒曜甲, 1 砕竜の剛鉄拳, 3 光る粘菌, 1 ピュアクリスタル
Bracchidios X Faulds : 2 砕竜の剛鉄拳, 1 砕竜の尻尾, 1 砕竜の天殻, 4 砕竜の重殻
Bracchidios X Greaves : 4 砕竜の重殻, 2 砕竜の重黒曜甲, 2 砕竜の剛鉄拳, 3 メランジェ鉱石
Bracchidios X Cap : 3 砕竜の重黒曜甲, 2 砕竜の尖頭殻, 3 光る粘液, 4 真紅蓮石
Bracchidios X Vest : 4 砕竜の重殻, 3 砕竜の重黒曜甲, 2 砕竜の宝玉, 2 重竜骨
Bracchidios X Guards : 3 砕竜の重黒曜甲, 1 砕竜の剛鉄拳, 3 光る粘菌, 1 ピュアクリスタル
Bracchidios X Coat : 2 砕竜の剛鉄拳, 1 砕竜の尻尾, 1 砕竜の天殻, 4 砕竜の重殻
Bracchidios X Leggings : 4 砕竜の重殻, 2 砕竜の重黒曜甲, 2 砕竜の剛鉄拳, 3 メランジェ鉱石
Lagiacrus X Helm : 2 海竜の剛角, 5 海竜の厚皮, 1 海竜の蒼玉, 6 水獣の厚鱗
Lagiacrus X Mail : 4 海竜の厚皮, 1 海竜の蒼天鱗, 1 海竜の剛尾, 4 氷牙竜の厚毛皮
Lagiacrus X Vambraces : 3 海竜の剛爪, 4 海竜の蓄電殻, 4 海竜の厚鱗, 5 雷電袋
Lagiacrus X Faulds : 4 海竜の雷電殻, 5 海竜の厚鱗, 1 海竜の蒼玉, 2 海竜の剛尾
Lagiacrus X Greaves : 5 海竜の厚鱗, 4 海竜の厚皮, 3 海竜の剛爪, 1 ピュアクリスタル
Lagiacrus X Cap : 2 海竜の剛角, 5 海竜の厚皮, 1 海竜の蒼玉, 6 水獣の厚鱗
Lagiacrus X Vest : 4 海竜の厚皮, 1 海竜の蒼天鱗, 1 海竜の剛尾, 4 氷牙竜の厚毛皮
Lagiacrus X Guards : 3 海竜の剛爪, 4 海竜の蓄電殻, 4 海竜の厚鱗, 5 雷電袋
Lagiacrus X Coat : 4 海竜の雷電殻, 5 海竜の厚鱗, 1 海竜の蒼玉, 2 海竜の剛尾
Lagiacrus X Leggings : 5 海竜の厚鱗, 4 海竜の厚皮, 3 海竜の剛爪, 1 ピュアクリスタル
Lagiacrus Z Helm : 2 白海竜の剛角, 4 白海竜の厚皮, 1 海竜の蒼天鱗, 3 海竜の逆鱗
Lagiacrus Z Mail : 4 白海竜の厚皮, 1 海竜の剛爪, 1 海竜の蒼玉, 5 風牙竜の厚毛皮
Lagiacrus Z Vambraces : 5 白海竜の厚鱗, 3 海竜の剛爪, 3 白海竜の雷電殻, 3 高圧電気石
Lagiacrus Z Faulds : 4 白海竜の雷電殻, 5 白海竜の厚鱗, 1 海竜の蒼玉, 1 海竜の剛尾
Lagiacrus Z Greaves : 5 白海竜の厚鱗, 4 白海竜の厚皮, 3 海竜の剛爪, 3 メランジェ鉱石
Lagiacrus Z Cap : 2 白海竜の剛角, 4 白海竜の厚皮, 1 海竜の蒼天鱗, 3 海竜の逆鱗
Lagiacrus Z Vest : 4 白海竜の厚皮, 1 海竜の剛爪, 1 海竜の蒼玉, 5 風牙竜の厚毛皮
Lagiacrus Z Guards : 5 白海竜の厚鱗, 3 海竜の剛爪, 3 白海竜の雷電殻, 3 高圧電気石
Lagiacrus Z Coat : 4 白海竜の雷電殻, 5 白海竜の厚鱗, 1 海竜の蒼玉, 1 海竜の剛尾
Lagiacrus Z Leggings : 5 白海竜の厚鱗, 4 白海竜の厚皮, 3 海竜の剛爪, 3 メランジェ鉱石
Uragaan X Helm : 4 爆鎚竜の重殻, 1 爆鎚竜の紅玉, 8 溶岩塊, 3 爆鎚竜の重耐熱殻
Uragaan X Mail : 5 爆鎚竜の重殻, 1 爆鎚竜の重顎, 6 爆鎚竜の骨髄, 2 真紅蓮石
Uragaan X Vambraces : 5 爆鎚竜の厚鱗, 2 爆鎚竜の重耐熱殻, 3 重竜骨, 3 メランジェ鉱石
Uragaan X Faulds : 6 爆鎚竜の厚鱗, 1 爆鎚竜の天殻, 1 爆鎚竜の重殻, 4 赤甲獣の重殻
Uragaan X Greaves : 5 爆鎚竜の重殻, 3 爆鎚竜の厚鱗, 1 大竜玉, 3 重厚な牙
Uragaan X Cap : 4 爆鎚竜の重殻, 1 爆鎚竜の紅玉, 8 溶岩塊, 3 爆鎚竜の重耐熱殻
Uragaan X Vest : 5 爆鎚竜の重殻, 1 爆鎚竜の重顎, 6 爆鎚竜の骨髄, 2 真紅蓮石
Uragaan X Guards : 5 爆鎚竜の厚鱗, 2 爆鎚竜の重耐熱殻, 3 重竜骨, 3 メランジェ鉱石
Uragaan X Coat : 6 爆鎚竜の厚鱗, 1 爆鎚竜の天殻, 1 爆鎚竜の重殻, 4 赤甲獣の重殻
Uragaan X Leggings : 5 爆鎚竜の重殻, 3 爆鎚竜の厚鱗, 1 大竜玉, 3 重厚な牙
Uragaan Z Helm : 5 鋼鎚竜の重殻, 2 爆鎚竜の紅玉, 1 大竜玉, 2 マボロシチョウ
Uragaan Z Mail : 2 鋼鎚竜の重顎, 2 鋼鎚竜の重耐熱殻, 5 鋼鎚竜の厚鱗, 3 メランジェ鉱石
Uragaan Z Vambraces : 4 鋼鎚竜の厚鱗, 1 爆鎚竜の天殻, 5 鋼鎚竜の重殻, 3 赤甲獣の剛爪
Uragaan Z Faulds : 3 鋼鎚竜の重耐熱殻, 4 鋼鎚竜の厚鱗, 4 鋼鎚竜の重殻, 2 真紅蓮石
Uragaan Z Greaves : 5 鋼鎚竜の重殻, 4 鋼鎚竜の厚鱗, 1 鋼鎚竜の重顎, 1 ピュアクリスタル
Uragaan Z Cap : 5 鋼鎚竜の重殻, 2 爆鎚竜の紅玉, 1 大竜玉, 2 マボロシチョウ
Uragaan Z Vest : 2 鋼鎚竜の重顎, 2 鋼鎚竜の重耐熱殻, 5 鋼鎚竜の厚鱗, 3 メランジェ鉱石
Uragaan Z Guards : 4 鋼鎚竜の厚鱗, 1 爆鎚竜の天殻, 5 鋼鎚竜の重殻, 3 赤甲獣の剛爪
Uragaan Z Coat : 3 鋼鎚竜の重耐熱殻, 4 鋼鎚竜の厚鱗, 4 鋼鎚竜の重殻, 2 真紅蓮石
Uragaan Z Leggings : 5 鋼鎚竜の重殻, 4 鋼鎚竜の厚鱗, 1 鋼鎚竜の重顎, 1 ピュアクリスタル
Jinouga X Helm : 2 雷狼竜の剛角, 2 雷狼竜の雷電殻, 2 雷狼竜の重殻, 1 大竜玉
Jinouga X Mail : 4 雷狼竜の雷電毛, 3 雷狼竜の重殻, 1 雷狼竜の天玉, 10 超電雷光虫
Jinouga X Vambraces : 3 雷狼竜の剛爪, 2 雷狼竜の雷電殻, 2 雷狼竜の雷電毛, 2 極上の毛皮
Jinouga X Faulds : 3 雷狼竜の重殻, 2 雷狼竜の雷電毛, 1 雷狼竜の靭尾, 1 雷狼竜の天玉
Jinouga X Greaves : 3 雷狼竜の重殻, 3 雷狼竜の剛爪, 3 雷狼竜の雷電殻, 3 雷電袋
Jinouga X Cap : 2 雷狼竜の剛角, 2 雷狼竜の雷電殻, 2 雷狼竜の重殻, 1 大竜玉
Jinouga X Vest : 4 雷狼竜の雷電毛, 3 雷狼竜の重殻, 1 雷狼竜の天玉, 10 超電雷光虫
Jinouga X Guards : 3 雷狼竜の剛爪, 2 雷狼竜の雷電殻, 2 雷狼竜の雷電毛, 2 極上の毛皮
Jinouga X Coat : 3 雷狼竜の重殻, 2 雷狼竜の雷電毛, 1 雷狼竜の靭尾, 1 雷狼竜の天玉
Jinouga X Leggings : 3 雷狼竜の重殻, 3 雷狼竜の剛爪, 3 雷狼竜の雷電殻, 3 雷電袋
Jinouga Z Helm : 3 獄狼竜の剛角, 4 獄狼竜の重殻, 3 獄狼竜の龍毛, 3 古龍の血
Jinouga Z Mail : 4 獄狼竜の重殻, 3 獄狼竜の龍殻, 1 獄狼竜の天玉, 5 蝕龍蟲
Jinouga Z Vambraces : 5 獄狼竜の剛爪, 4 獄狼竜の龍殻, 3 獄狼竜の龍毛, 3 飛甲虫の斬羽
Jinouga Z Faulds : 4 獄狼竜の重殻, 1 獄狼竜の靭尾, 4 獄狼竜の龍毛, 1 獄狼竜の天玉
Jinouga Z Greaves : 4 獄狼竜の剛爪, 4 獄狼竜の重殻, 5 獄狼竜の龍殻, 5 蝕龍蟲
Jinouga Z Cap : 3 獄狼竜の剛角, 4 獄狼竜の重殻, 3 獄狼竜の龍毛, 3 古龍の血
Jinouga Z Vest : 4 獄狼竜の重殻, 3 獄狼竜の龍殻, 1 獄狼竜の天玉, 5 蝕龍蟲
Jinouga Z Guards : 5 獄狼竜の剛爪, 4 獄狼竜の龍殻, 3 獄狼竜の龍毛, 3 飛甲虫の斬羽
Jinouga Z Coat : 4 獄狼竜の重殻, 1 獄狼竜の靭尾, 4 獄狼竜の龍毛, 1 獄狼竜の天玉
Jinouga Z Leggings : 4 獄狼竜の剛爪, 4 獄狼竜の重殻, 5 獄狼竜の龍殻, 5 蝕龍蟲
Dober X Helm : 3 太古の龍骨, 1 尾槌竜の剛角, 4 重竜骨, 3 古龍の血
Dober X Mail : 3 太古の龍骨, 2 堅牢な黒巻き角, 5 堅牢な鳥竜骨, 5 重厚な牙
Dober X Vambraces : 3 太古の龍骨, 2 白海竜の上鱗, 5 草食竜の重骨, 2 大竜玉
Dober X Coil : 3 太古の龍骨, 3 獄狼竜の剛爪, 3 重竜骨, 3 幻鳥竜玉
Dober X Greaves : 3 太古の龍骨, 2 凍戈竜の剛爪, 5 堅牢な鳥竜骨, 10 重厚な骨
Dober X Cap : 3 太古の龍骨, 1 尾槌竜の剛角, 4 重竜骨, 3 古龍の血
Dober X Vest : 3 太古の龍骨, 2 堅牢な黒巻き角, 5 堅牢な鳥竜骨, 5 重厚な牙
Dober X Guards : 3 太古の龍骨, 2 白海竜の上鱗, 5 草食竜の重骨, 2 大竜玉
Dober X Coat : 3 太古の龍骨, 3 獄狼竜の剛爪, 3 重竜骨, 3 幻鳥竜玉
Dober X Leggings : 3 太古の龍骨, 2 凍戈竜の剛爪, 5 堅牢な鳥竜骨, 10 重厚な骨
Damascus X Helm : 4 霊山龍の重蒼鱗, 4 桜火竜の厚鱗, 2 雌火竜の秘棘, 3 峯山龍の堅岩殻
Damascus X Mail : 2 神々しい龍牙, 3 蒼火竜の重殻, 2 恐暴竜の唾液, 4 峯山龍の上蒼鱗
Damascus X Vambraces : 4 霊山龍の重蒼鱗, 4 蒼火竜の厚鱗, 3 恐暴竜の厚黒鱗, 3 峯山龍の堅岩殻
Damascus X Coil : 3 霊山龍の重岩殻, 4 桜火竜の厚鱗, 4 蒼火竜の厚鱗, 2 猛々しい龍鋭牙
Damascus X Greaves : 3 霊山龍の重岩殻, 3 桜火竜の重殻, 2 蒼火竜の靭尾, 4 峯山龍の上蒼鱗
Damascus X Cap : 4 霊山龍の重蒼鱗, 4 桜火竜の厚鱗, 2 雌火竜の秘棘, 3 峯山龍の堅岩殻
Damascus X Vest : 2 神々しい龍牙, 3 蒼火竜の重殻, 2 恐暴竜の唾液, 4 峯山龍の上蒼鱗
Damascus X Guards : 4 霊山龍の重蒼鱗, 4 蒼火竜の厚鱗, 3 恐暴竜の厚黒鱗, 3 峯山龍の堅岩殻
Damascus X Coat : 3 霊山龍の重岩殻, 4 桜火竜の厚鱗, 4 蒼火竜の厚鱗, 2 猛々しい龍鋭牙
Damascus Leggings : 3 霊山龍の重岩殻, 3 桜火竜の重殻, 2 蒼火竜の靭尾, 4 峯山龍の上蒼鱗
Vangis X Helm : 2 恐暴竜の厚黒鱗, 4 恐暴竜の厚黒皮, 2 恐暴竜の頭殻, 2 琥珀色の重牙
Vangis X Mail : 2 極悪な牙, 4 恐暴竜の剛鉤爪, 5 恐暴竜の厚黒皮, 1 雷狼竜の天玉
Vangis X Vambraces : 6 恐暴竜の厚黒鱗, 2 極悪な牙, 1 恐暴竜の滅鱗, 2 迅竜の靱尾
Vangis X Coil : 4 恐暴竜の厚黒皮, 4 ドス黒い血, 2 恐暴竜の重尾, 2 尾鎚竜の仙骨
Vangis X Greaves : 4 恐暴竜の剛鉤爪, 6 恐暴竜の厚黒鱗, 2 恐暴竜の厚黒皮, 1 爆鎚竜の紅玉
Vangis X Cap : 2 恐暴竜の厚黒鱗, 4 恐暴竜の厚黒皮, 2 恐暴竜の頭殻, 2 琥珀色の重牙
Vangis X Vest : 2 極悪な牙, 4 恐暴竜の剛鉤爪, 5 恐暴竜の厚黒皮, 1 雷狼竜の天玉
Vangis X Guards : 6 恐暴竜の厚黒鱗, 2 極悪な牙, 1 恐暴竜の滅鱗, 2 迅竜の靱尾
Vangis X Coat : 4 恐暴竜の厚黒皮, 4 ドス黒い血, 2 恐暴竜の重尾, 2 尾鎚竜の仙骨
Vangis X Leggings : 4 恐暴竜の剛鉤爪, 6 恐暴竜の厚黒鱗, 2 恐暴竜の厚黒皮, 1 爆鎚竜の紅玉
Moonlight Crown : 3 月迅竜の重牙, 3 月迅竜の豪斑毛, 1 朧月の欠片, 2 霊水晶
